genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
dance,This Is What You Came For,"Calvin Harris, Rihanna",96 Months,2024-08-08,221900,82,3,spotify:track:2vlDrKpOC0eSTqTDRcbYyw
dance,Champagne Supernova - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],1995-10-02,451320,71,12,spotify:track:1wo3UYTeizJHkwYIuLuBPF
dance,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),2023-12-01,140000,84,1,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt
dance,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Don't You Worry Child,2012-09-14,212862,83,1,spotify:track:2V65y3PX4DkRhy1djlxd9p
dance,Stand by Me,Oasis,Be Here Now,1997-07-08,356600,69,4,spotify:track:7aSSsHnGQ54rbMZpXApmtU
dance,Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",Waves (Robin Schulz Radio Edit),2014-02-07,208133,83,1,spotify:track:1HFfMOxCAT4GAwaPfCdmUs
dance,Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",Nothing but the Beat (Ultimate Edition),2012-12-07,201000,78,6,spotify:track:5YPMEOJ58kfl56VHxTgwx3
electronic,DIA DELÍCIA,"Nakama, Mc Staff, ΣP",DIA DELÍCIA,2025-04-25,75461,90,1,spotify:track:094IjHeVUviN4aBnSXYsuj
electronic,PASSO BEM SOLTO - Slowed,ATLXS,PASSO BEM SOLTO,2024-04-23,116072,89,3,spotify:track:4sTlQPMyoFMPdhAJvErBN3
electronic,LUNA BALA - Slowed,"Yb Wasg'ood, Ariis",LUNA BALA,2025-04-18,124110,88,2,spotify:track:49t3uvN9hUNefdvtaD6HBj
electronic,Stop Crying Your Heart Out,Oasis,Heathen Chemistry,2002-02-03,303133,77,4,spotify:track:5YciOakY5dB5dULkiLdCaf
electronic,Vem Vem,"Jmilton, MC Xangai",Vem Vem,2025-05-30,83183,85,1,spotify:track:2FnkrCrbXJuebXxnVtXiHI
electronic,MONTAGEM BAILÃO,"Repsaj, ATLXS, Mc Jhey",MONTAGEM BAILÃO,2025-04-04,103727,87,1,spotify:track:1RnPdd7EKKhKN3E4o4DRsh
electronic,Don't Look Back in Anger - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],1995-10-02,289560,77,4,spotify:track:0UvCh63URrLFcPkKt99hHd
electronic,Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat (Ultimate Edition),2012-12-07,245040,85,1,spotify:track:0TDLuuLlV54CkRRUOahJb4
electronic,I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,175238,87,1,spotify:track:4uUG5RXrOk84mYEfFvj3cK
electronic,"What Is Love - 7"" Mix",Haddaway,The Album,1993-09-13,270373,83,1,spotify:track:0OTO8ZF2YqFQVw9hnZylTd
electronic,MONTAGEM XONADA,"MXZI, Dj Samir, DJ Javi26",MONTAGEM XONADA,2025-07-02,75682,83,1,spotify:track:2Gs0iF27my40p0dANv2rAg
electronic,"Freed From Desire - prod. Molella, Phil Jay","Gala, Molella, Phil Jay",Come Into My Life (The Album),1997-11-17,213394,81,10,spotify:track:3u5N55tHf7hXATSQrjBh2q
electronic,LOS VOLTAJE,"Sayfalse, Yb Wasg'ood, Ariis",LOS VOLTAJE,2025-04-11,99285,85,1,spotify:track:4LkkRLP8pldQer1YRrHwkx
electronic,MENTE MÁ,"Nakama, Mc Staff",MENTE MÁ,2025-05-16,75302,84,1,spotify:track:11gZL0HigsqfzjTHOpdFjE
electronic,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,2014-10-31,227266,87,6,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb
electronic,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",One More Love,2010-11-22,210093,83,4,spotify:track:7fLzbEOBOae9lUnOwr7Tse
electronic,Funk de Beleza - Slowed,"Nateki, Scythermane, MC MAYAH",Funk de Beleza,2024-10-04,145115,82,2,spotify:track:43jExF2HeZ6cJIGrWF0ie4
electronic,Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,2010-11-22,195853,82,3,spotify:track:2dGxjfhFXDIUX9h5ImyKkE
electronic,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),2024-07-19,145599,85,1,spotify:track:4MSj19TwYBLgDFj3ddEeco
electronic,Are You With Me,Lost Frequencies,Less Is More,2016-10-21,138013,83,12,spotify:track:4255amV4enzl28KAn16rUO
electronic,MONTAGEM TOMADA - Slowed,MXZI,MONTAGEM TOMADA,2025-03-21,84901,84,2,spotify:track:2HJQm4T3Pk2zvxoFhlnGjR
electronic,MONTAGEM TOMADA,MXZI,MONTAGEM TOMADA,2025-03-21,71392,83,1,spotify:track:2UEyo3ufg8DvO0zYMJWG7R
electronic,Summer,Calvin Harris,Motion,2014-10-31,222533,87,8,spotify:track:6YUTL4dYpB9xZO5qExPf05
electronic,Feel So Close - Radio Edit,Calvin Harris,18 Months,2012-10-29,206413,85,3,spotify:track:1gihuPhrLraKYrJMAEONyc
electronic,The Sound of Silence - CYRIL Remix,"Disturbed, CYRIL",The Sound of Silence (CYRIL Remix),2024-02-02,185238,84,1,spotify:track:1LY3GhF0zxIVgbYEQjCbUO
electronic,You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",You & Me (Rivo Remix),2023-12-22,208524,84,1,spotify:track:0xoYZ45fgTfyQYREZPN7Sa
electronic,Blessings,"Calvin Harris, Clementine Douglas",Blessings,2025-05-09,219650,89,1,spotify:track:78nx0HDJIFD5xDq2L5420Z
electronic,Blame (feat. John Newman),"Calvin Harris, John Newman",Motion,2014-10-31,212960,83,3,spotify:track:07nH4ifBxUB4lZcsf44Brn
electronic,Live Forever,Oasis,Definitely Maybe,1994-08-29,276866,71,3,spotify:track:1KgfeuVn5OlsBEtoEmBa1t
electronic,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar,2015-09-25,219043,83,2,spotify:track:5tf1VVWniHgryyumXyJM7w
electronic,Waiting For Love,Avicii,Stories,2015-10-02,230613,83,1,spotify:track:2P4OICZRVAQcYAV2JReRfj
electronic,All That She Wants,Ace of Base,The Sign,1993-12-24,211213,82,1,spotify:track:6kWJvPfC4DgUpRsXKNa9z9
electronic,Montagem Bandido,"Jmilton, Itamar Mc",Montagem Bandido,2025-05-02,86953,79,1,spotify:track:5s9JKS0P0exKgwLe4yCjAK
electronic,Montagem Bandido - Slowed,"Jmilton, Itamar Mc",Montagem Bandido,2025-05-02,97606,80,2,spotify:track:2spuCBVvQyCsQFHIiie8gP
electronic,NUNCA MUDA?,"Scythermane, NXGHT!, MC Fabinho da Osk",NUNCA MUDA?,2025-01-09,81500,83,1,spotify:track:5EIjpM1B1VsLoKvv2iwd0P
electronic,RITMO DE VERAO - SLOWED,"GXMZ, SEKIMANE, Repsaj",RITMO DE VERAO,2025-03-07,99194,79,2,spotify:track:344ilORk7mOQH1BbiufL9w
electronic,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead,1986-06-16,244586,84,9,spotify:track:0WQiDwKJclirSYG9v5tayI
electronic,One More Time,Daft Punk,Discovery,2001-03-12,320357,80,1,spotify:track:0DiWol3AO6WpXZgp0goxAV
electronic,FUNK DO BOUNCE (Slowed),Ariis,FUNK DO BOUNCE (Slowed),2024-08-30,107539,81,1,spotify:track:7IBqHkoP94VrgYKVns4eNz
electronic,Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",Prayer in C,2014-05-16,189413,79,1,spotify:track:5fnA9mkIfScSqHIpeDyvck
electronic,This Is What You Came For,"Calvin Harris, Rihanna",96 Months,2024-08-08,221900,82,3,spotify:track:2vlDrKpOC0eSTqTDRcbYyw
electronic,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",2016-05-06,197933,83,13,spotify:track:0vbtURX4qv1l7besfwmnD8
electronic,Champagne Supernova - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],1995-10-02,451320,71,12,spotify:track:1wo3UYTeizJHkwYIuLuBPF
electronic,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),2023-12-01,140000,84,1,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt
electronic,World Hold On (Children of the Sky) - Radio Edit,"Bob Sinclar, Steve Edwards",World Hold On (Children of the Sky) [Radio Edit],2006-06-06,199194,79,1,spotify:track:3HGwI9qwq5XqBDeZBV3zti
electronic,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Don't You Worry Child,2012-09-14,212862,83,1,spotify:track:2V65y3PX4DkRhy1djlxd9p
electronic,Stand by Me,Oasis,Be Here Now,1997-07-08,356600,69,4,spotify:track:7aSSsHnGQ54rbMZpXApmtU
electronic,Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",Waves (Robin Schulz Radio Edit),2014-02-07,208133,83,1,spotify:track:1HFfMOxCAT4GAwaPfCdmUs
electronic,Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",Nothing but the Beat (Ultimate Edition),2012-12-07,201000,78,6,spotify:track:5YPMEOJ58kfl56VHxTgwx3
electronic,Without You (feat. Usher),"David Guetta, USHER",Nothing but the Beat (Ultimate Edition),2012-12-07,208133,79,4,spotify:track:3UN6cIn3VIyg0z1LCuFSum
