genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
electronic,Montagem Bandido,"Jmilton, Itamar Mc",Montagem Bandido,2025-05-02,86953,79,1,spotify:track:5s9JKS0P0exKgwLe4yCjAK
electronic,Montagem Bandido - Slowed,"Jmilton, Itamar Mc",Montagem Bandido,2025-05-02,97606,80,2,spotify:track:2spuCBVvQyCsQFHIiie8gP
electronic,NUNCA MUDA?,"Scythermane, NXGHT!, MC Fabinho da Osk",NUNCA MUDA?,2025-01-09,81500,83,1,spotify:track:5EIjpM1B1VsLoKvv2iwd0P
electronic,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead,1986-06-16,244586,84,9,spotify:track:0WQiDwKJclirSYG9v5tayI
electronic,RITMO DE VERAO - SLOWED,"GXMZ, SEKIMANE, Repsaj",RITMO DE VERAO,2025-03-07,99194,80,2,spotify:track:344ilORk7mOQH1BbiufL9w
electronic,One More Time,Daft Punk,Discovery,2001-03-12,320357,80,1,spotify:track:0DiWol3AO6WpXZgp0goxAV
electronic,FUNK DO BOUNCE (Slowed),Ariis,FUNK DO BOUNCE (Slowed),2024-08-30,107539,81,1,spotify:track:7IBqHkoP94VrgYKVns4eNz
electronic,Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",Prayer in C,2014-05-16,189413,79,1,spotify:track:5fnA9mkIfScSqHIpeDyvck
electronic,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",2016-05-06,197933,83,13,spotify:track:0vbtURX4qv1l7besfwmnD8
electronic,Champagne Supernova - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],1995-10-02,451320,71,12,spotify:track:1wo3UYTeizJHkwYIuLuBPF
electronic,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),2023-12-01,140000,84,1,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt
electronic,World Hold On (Children of the Sky) - Radio Edit,"Bob Sinclar, Steve Edwards",World Hold On (Children of the Sky) [Radio Edit],2006-06-06,199194,79,1,spotify:track:3HGwI9qwq5XqBDeZBV3zti
electronic,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Don't You Worry Child,2012-09-14,212862,83,1,spotify:track:2V65y3PX4DkRhy1djlxd9p
electronic,Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",Waves (Robin Schulz Radio Edit),2014-02-07,208133,83,1,spotify:track:1HFfMOxCAT4GAwaPfCdmUs
electronic,Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",Nothing but the Beat (Ultimate Edition),2012-12-07,201000,78,6,spotify:track:5YPMEOJ58kfl56VHxTgwx3
electronic,Without You (feat. Usher),"David Guetta, USHER",Nothing but the Beat (Ultimate Edition),2012-12-07,208133,79,4,spotify:track:3UN6cIn3VIyg0z1LCuFSum
electronic,SPOOKY,"fennecxx, DJ ALEX",SPOOKY,2024-10-24,96923,79,1,spotify:track:4aT2W9wchQKAimxVFSRIva
electronic,Supersonic - Remastered,Oasis,Definitely Maybe (Remastered),1994-08-29,283786,67,6,spotify:track:6dUfUi14QkuIpGA0GFFPyC
electronic,OLHA MENSAGEM,"SEKIMANE, Scythermane, NXGHT!, DJ DYLANFK, KGJ",OLHA MENSAGEM,2025-04-16,100714,76,1,spotify:track:4bRgPiewooIntAQfPx4sCG
